Name of Company,Type of Industry,Company Address
"Ivory Music and Video, Inc.",Wholesale and Retail of Audio and Video(CDs and DVDs),"Unit 208 Atlanta Centre, 31 Annapolis St. Greenhills San Juan"
Iwave,Software Development,"Unit 904-907 Philippine Axalife Centre,1286 Sen. Gil Puyat Ave. Makati City"
J.A.O Builders and Development Corp. ,Construction and Materials,"The STG Corporate Building. 76 Timog Ave, Quezon City"
J.I Via Crusis Construction,Construction and Materials,"No. 11 Ketucky Lane Upper Kalaklan, Olangapo City"
J.Legaspi Computer Graphics,Creative and Digital Solution,"Room 201-202, Korea-Philippines I.T Training Center, QCPU Compound, San Bartolome, Quezon City"
"J&P Coats, Ltd.",Thread Manufacturing,"Clock In BGC, 3rd Floor C2 Building, 7th Ave, Taguig City"
JA Aliling,,2nd flr acci building 6082 palma st cor rockwell drive makati
Jac Liner Group,Transportation ,121 Kamuning Road. Quezon City
JAMJLE Properties (Subic) and Development Corporation,,"Bldg. 5163 Argonaut Highway, Kalayaan Subic bay Freeport Zone"
"Jardine Distribution, Inc.",Marketing & Distribution Company," 2/F Jardine Building, JM Compound, Faraday cor. Osmena Highway, Makati City, Philippines 1234"
Jason Electronics Philippines Company,Electronic & Electrical Equipment,1407 Quezon Ave. Quezon City
JD Legaspi Construction,Construction and Materials,"2332 Paraiso St. Dasmarinas Village, Makati City"
Jehuland Corp.,Real State,"208-210 Orlando Suites, 2489 Estrada st. Corner Singalona St. Malate, Manila"
Jezka Construction Company,Construction and Materials,"26 Koppel St. Filinvest ll, Bataan Hills, Quezon City"
"JG Summit Holdings, Inc.",Retail Merchandising,"41/F Robinsons Equitable Tower, ADB Avenue cor. Poveda Road, Ortigas Center, Pasig City, Philippines"
"JGC Philippines, Inc.",,"JGC Philippines Building, 2109 Prime Street, Madrigal Business Park, Ayala Alabang, Muntinlupa City, Philippines 1780"
Jiggie Alejandrino Photography,Photography Services,3M Lawson St. Mandaluyong City
Jimac Incorporated,IT/Software  Company,"TC Plaza Building, Penthouse Floor, No. 40 Quezon Avenue, Quezon City, Philippines"
Job & Esther Technologies,IT Services,"9F Alabang Business Tower, 1216 Acacia Ave. Madrigal Business Park, Ayala Alabang, Muntinlupa City"
"JobsDB Philippines, Inc. / Jobstreet.com",Online Job Advertisement,20th flr cybergate tower 3 pioneer st mandaluyong city
JOBLU TECHNOLOGIES PTE. LTD.,Software and Computer Services,138 ROBINSON ROAD #22-01 OXLEY TOWER SINGAPORE
Jollibee Foods Corporation,Food Industry,"34/F Jollibee Plaza, Emerald Avenue, Ortigas Center, Pasig City, Philippines"
Jollibee Worldwide Services,Food Industry,"29th Flr. Jollibee Plaza, Greenwich, Pasig City"
Jolomi Money Changer Corporation,Money Changer,"2F DC Square Building, 54 Timog Ave. Quezon City"
Josincar Construction,,"Capili Compound, Pasong Camachile II, Gen. Trias Cavite"
JPMorgan Chase & Co.,Financial Services for Consumers and Small Business,"Career Hub, Ground Floor Net Plaza Building, 31st St., eSquare Zone, Crescent Park West, Bonifacio Global City, Taguig City "
JS Asia Digital Agency,Advertising Agency,"5N OPL Building, Don Carlos Palanca st. Makati City"
JTB Buiders ,General Contracting,360 Quezon Avenue QC
"Jump Digital, Inc.",Digital Advertising Company,"Unit 904/905 East Tower, Philippine Stock Exchange,Ortigas Center, Pasig City"
Jupiter Systems Inc.,Software and Computer Services .,"Jupiter system 8, AW bldg 2614 caparong corner, West St. Brgy. Sta. Cruz, Makati City."
Jutsu Graphic Design,Advertising/Design/Marketing,"343 Valero Plaza, valero St. Salcedo Village, Makati City"
JYOSNA INC.,IT Consultancy & Development Research,"Unit 2607, Prestige Tower, F.Ortigas Jr. Road Ortigas Center"
"K Cyscorpions, Inc.",Real State/Property Management,"LG MyTown New York Building 1244, General E. Jacinto St. cor. Capas St.,, Barangay Guadalupe Nuevo, Makati, 1229 Metro Manila"
"Kaisa Consulting Company, Inc.",IT Consultancy,"5/F Ramcar Center, 80-82 Roces Avenue, Diliman, Quezon City, Philippines 1104"
Kalibrr Technology Ventures Inc.,Software and Computer Services,"2nd-4th Flr. BCC House, Poblacion, Makati City"
Kation Technologies Inc. ,Software and Computer Services/Support Services,"GF Topy's Place Building, #7 Calle Industria cor Economia Street, Bagumbayan, Quezon City"
KC Industrial Corporation,Electrical Equipment Suppliers,"82 Cordillera Street, Corner Quezon Avenue, Quezon City"
KDDI Philippines Corporation,IT/System Integration .,"Unit 25-C & 25-D 25/F Rufino Pacific Tower, 6784 Ayala Avenue cor. V.A. Rufino Street, Makati City, Philippines"
"Keascia Construction & Supply 	",Construction and Materials,"F. Laurena St. , Brgy. Poblacion 1, Tanauan City Batangas"
Keis Industrial Supply Company,Retailer of Hardware Suppliers Company,"207-209 D McArthur H-way, Brgy Karuhatan, Valenzuela City"
Kenso Construction and Development,Construction and Materials,"717 E. Delos Santos Ave. near New York Cubao, Quezon City"
Kenway Management Services,Telecommunication,"62-A Villa Ortigas 2, Santolan Road, Quezon City, Philippines"
Kettle Foods Corporation,Food Manufacturing,"7/F RFM Building, Pioneer cor. Sheridan Street, Mandaluyong City, Philippines"
"Keysquare, Inc.",BPO Company,"21/F Hanston Square Building, No. 17 San Miguel Avenue, Ortigas Center, Pasig City, Philippines 1605"
Keywest Internationale Sales,Marketing Company/Trading,"37-D Baler Street, San Francisco Del Monte, Quezon City, Philippines"
KEYWORDS STUDIOS MANILA,Business Process Outsourcing,5TH FLR. TECHNOPOINT 2 BLDG ORTIGAS CENTER PASIG
"KgB Philippines, Inc.",directory assistance and enhanced information services,"11/F RCBC Plaza Tower 2, Ayala Avenue cor. Sen. Gil Puyat Avenue, Makati City, Philippines 1200"
"KMC Mag Group, Inc.",,11th flr sunlife center bldg. 5th ave bgc taguig
KMJ Ballesteros Construction and Design Services,Construction & Materials,"20 Unit 1 K-G st. West Kamias, Quezon City"
Knowledge Channel Foundation Inc.,,
Komikasi Enterprise,Computer Games,2F G&A bldg. 2303 Pasong Tamo Ext. Makati
Kooapps Philippines Corporation,,"1272 Batangas St., Brgy. San Isidro, Makati City 1234 Philippines"
Korea SME Business Center Corp.,Advertising / Design / Marketing,"Unit 1807 One San Miguel Building, San Miguel Avenue, cor. Shaw Boulevard, Ortigas Center, Pasig City"
Kovenry Inc.,Esports,Unit 3407 34th Flr. Raffles Corporate Center F. Ortigas Jr.
"Kraft Food Philippines (now Mondelez Philippines, Inc.)",,"8378 Dr. Abad Santos Avenue, Sucat, Parañaque City, Philippines"
KUMU,,
KURA Media Production,Advertsiing/Design/Markrting,23rd floor bonifacio stop over corporate center 31st st. corner 2nd ave. BGC Taguig City
"La Revista Publications, Inc. (Hola! Philippines)",Magazine/Publications,"Unit B2-E 2/F Building B, Karrivin Plaza, 2316 Don Chino Roces Avenue Ext., Makati City, Philippines"
Labb Construction,Construction & Materials,"Mariveles, Dauis Bohol"
"Lacson & Lacson Insurance Brokers, Inc.",Insurance Solutions,"15/F Burgandy Corporate Tower, 252 Sen Gil. Puyat Avenue, Makati City, Philippines"
"Lakeside Technologies International, Inc.",Software and Computer Services,"21/F Equitable Bank Tower, 8751 Paseo de Roxas, Makati City, Philippines"
"Lambert Williams Logistics, Inc.",,"J1 Ninoy Aquino Avenue, San Dionisio, Parañaque City, Philippines 1700"
Lancaster Colors Int.,,111 Paseo De Roxas Makati 1229 Metro Manila
Land Bank of the Philippines,NO OTHER DOCUMENTS,"1598 M. H. Del Pilar Street cor. Dr. J. Quintos Street, Malate, Manila"
Landco Pacific Corporation,Real State/Property Management,"2F 51 Preseident's Ave., Centermall Bldg., BF Homes, Parañaque"
Langdon and Seah Philippines,Cost Consultancy,"4F Kings Court 1, Pasong Tamo, Quezon City"
LOANWORKS TECHNOLOGIES,Software & Computer Services,"Unit 2909-2912, 29th floor, One Corporate Centre, Julia Vargas Avenue corner Meralco Avenue, Ortigas Center, Pasig City, Philippines, 1605"
LeBistro Vincent Inc.,Hotel/Resort/Restaurant,"Lebistro Vincent, Inc. 5921 Algier Street Poblacion Makati"
"LeenTech Network Solutions, Inc.",IT Company,"34 A. Soriano Highway, Daang Amaya, 3 Tanza Cavite"
Legaspi Import & Export Group,Merchant Wholesalers,"5F Bloomingdale Building, 205 Salcedo St., Legaspi Village, Makati City"
Lenovo Philippines ,,"10/F 11 th Corporate Center 11th Avenue  corner triangle drive , Fort  Bonifacio Taguig city "
Level-Up! Inc.,Online Gamine/Software and Computer Services,"11/F Pacific Star Building, Sen Gil Puyat Avenue cor. Makati Avenue, Makati City, Philippines"
Lawson Philippine Solutions and Services Center (PSSC),IT Services,"9/F & 10/F Net2Center cor. 28th Street & 3rd Avenue, Crescent Park West, Bonifacio Global City, Taguig, Philippines 1634"
LG Atkimson,NO OTHER DOCUMENTS,
LGU Guarantee Corporation (LGUGC),Banking/Financial Services,"Unit 2801 28/F Antel Corporate Center, 121 Valero Street, Salcedo Village, Makati City, Philippines"
LGU Tumauini,Government Organization,"Municipal Hall, Brgy San Pedro Tumauini, Isabela"
"Liberty Broadcasting Network, Inc.",Radio Broadcasting stations and radio stations for television,"2298 Technology Center Building, Pasong Tamo Extension, Makati City, Philippines 1200"
"Liga ng mga Licensing Officers sa Bulacan, Inc. (LLOBI)",Government Organization,"Business Permit & Licensing Office, Municipality of Marilao, Bulacan, Philippines"
Light Rail Manila Corporation (LRMC),Transport System/Gov't,Mezzanine Engineering Bldg. LRTA Comp. Aurora Blvd. Pasay City
Light Rail Transit Authority (LRTA),Mass Rail Transportation,"Line 1 Depot, Pasay City, Philippines"
Lingaro (philippines ) Inc.,,"41F Philamlife Tower ,8767 Paseo de Roxas Makati City "
"Lintas Technology Philippines, Inc.",Telecommunication,"Suite 315 Jemco Building, C. Raymundo cor. Bernal Street, Rosario, Pasig City, Philippines 1609"
Linxprovi8 Training & Tutorial Services (QC branch),,"Unit 302 Corporate 101 Building, Mother Ignacia Avenue, Quezon City, Philippines"
Lorenzo Shipping Corporation,Shipping Company,"20/F Times Plaza Building, United Nations Avenue, Ermita, Manila, Philippines 1012"
"LoudWhistle, Inc.",Web Development,"3/F Bonifacio Technology Center, 31st Street cor. 2nd Avenue, Crescent Park, Bonifacio Global City, Taguig, Philippines 1634"
LPCS Construction,Construction and Materials,"43 Ompoc Subd., Likod simbahan, Pob. Sta. Maria Bulacan"
LR Punzalan And Associates,Mechanical Engineering Consultancy,"2nd flr., Lauremar Bldg. 1458 Newton St., Brgy. San Isidro, Makati City"
Aircraft Maintenance/Repail & Overhaul ,Aircraft Maintenance/Repail & Overhaul ,"MacroAsia Special Economic Zone, Villamor Air Base, Pasay City, Philippines 1309"
Lynville Land Development Corporation,Real State,"4F Lynville Business Center Brgy. Real Calamba City Laguna, Philippines"
"M. E. Sicat Construction, Inc.",,"8/F Coher Center, Quezon Avenue, Quezon City, Philippines"
M. G. Lualhati Construction Corporation,,"Rm. 407 Pasda Mansion, No. 77 Panay Avenue, Quezon City, Philippines"
Maagir Farm Corp.,Agriculture-Poultry & Livestock,"Suite 1105 Ermita Center Bldg, Roxas Blvd., Ermita Manila 1000 Philippines"
Machine Complete Corporation,machine manufacturing and system services,"2/F Azure Business Center, 1197 EDSA, Brgy. Katipunan, Quezon City, Philippines "
MACQUARIE GROUP,Banks/Insurance/Financial services,"Level 33, Tower 1, The Enterprise Center, 6769 Ayala Avenue Cor. Paseo De Roxas, Makati City"
MACRO CONSULTING STRUCTURAL ENGINEERS COMPANY,Engineering Professional Service and Consultancy,"Unit 1009 Cityland 10 tower 2 H V Dela Costa St., Salcedo Village Makati City"
Maersk Line,,"Light Industry and Science Park II, Calamba, Laguna"
"Magnifico Jeans, Inc. (Wrangler Philippines)",Retail Apparel,"3/F Marssha Building, 50 Joy Street, Grace Village, Quezon City, Philippines 1115"
Maintenance Management Division,Building& Road Construction Maintenance,7F Civic Centre  Building B
Makati Development Corporation,"Engineering, Procurement, Construction,Construction Management",Ayala Triangle Garden
"Makati Medical Center (Medical Doctors, Inc.)",,"No. 2 Amorsolo Street, Legaspi Village, Makati City, Philippines 1229"
Manila Futurist Society,NO OTHER DOCUMENTS,
Manila Jockey Club,Gaming,"14th Flr. Strata Bldg, F, Ortigas Jr. Road, Ortigas Center, Pasig City"
Manila North Tollways Corp.,NO OTHER DOCUMENTS,
Manila Oceanis - Manila Ocean Park,,"The Boardwalk, Quirino Grandstand, Luneta Park, Ermita, Manila"
Manila Water Company,Water Distribution,"MWSS Administration Building 489, Katipunan Road, Balara, Quezon City, Philippines 1105 "
"Manila-Oslo Renewable Enterprise, Inc.",Utilities/Power,"NAC Tower, 32nd Street, Bonifacio Global City, Taguig"
Manly Plastics Inc. ,Manufacturing of Plastics,#14 G. Molina St. 707 Comp Canumay East Valenzuela City
Manpower Outsourcing Services Inc.,HR Management/ Consulting,"21F Strata 2000, F Ortigas Jr Road, Ortigas Center, Pasig city"
MANULIFE,,
Manulife Business Processing Services (MBPS),Finance/Investment/IT/Underwriting/Marketing Services,"Manulife Building, UP North Science & Technology Park, Commonwealth Avenue, Diliman, Quezon City, Philippines"
"Manulife Data Services, Inc. (Philippines)",Financing Company/BPO,"Manulife North Building, UP North Science and Technology Park , Commonwealth Avenue, Diliman, Quezon City, Philippines 1101"
Manulife IT Delivery Center Asia,Software & Computer Services,"6th & 7th Floors NEX Tower, 6786 Ayala Avenue, Legaspi"
Marco Polo Ortigas Manila,Hotel Industry,"Meralco Avenue and Sapphire Street, Ortigas Center, Pasig City, Philippines"
Marikina City Hall,Local Government,"2F Marikina City Hall, Shoe Ave. Sta Elena, Marikina City"
Market Connect Inc. ,Advertising/Design/Marketing,"Unit 509 Cityland Pasong Tamo Tower, Don Chino Roces Ave. Brgy. Pio Del Pilar, Makati"
Marketing Convergence inc.,Food & Drug Retailers/General Retailers,"4F One Ecom Center Harbon Drive, MOA Complex, Pasay City"
Marlon Andal Construction Corporation (MAAC),Construction & Materials,"B4 L1 Don Faustino cor. Don Pedro, Holy Spirit, Quezon City, Philippines"
"Matched IP as of June 30, 2021  (Type of Industry)",957,
Matimco Inc.,Advertising / Design / Marketing,"324 General Luis St., Bagbaguin, Caloocan City"
"Matrix Mobile, Inc.","Distributor of PLDT, Smart & Mobile Phone",28F Discovey Centre ADB Ave. Ortigas Pasig City
"Matterhorn Motor, Inc. (Ford Quezon Avenue)",,"Quezon Avenue cor. Apo Street, Brgy. Sta. Teresita, Quezon City, Philippines"
Maxibuild Inc,Construction & Materials,"309 The Tower At Emerald Square, J.P. Rizal Cor. P. Tuazon, Project 4, Q.C"
Maxima Machineries Incorporated,Construction & Materials,"908 Quezon Ave. Corner Dr. Garcia St. Paligsahan, Quezon City"
"Maxweb, Inc.","Web Development, Internal Marketing and Graphic Design",465 Malaya St. Brgy Plainview Mandaluyong 
"Maynilad Water Services, Inc.",Utility Company,"MWSS Compound, Katipunan Avenue, Balara, Quezon City, Philippines 1105"
"McGuire Publishing, Inc.",Publishing/IT Company,"3rd Floor Wahphil Building, 1321 E. Rodriguez Sr. Avenue, Quezon City"
"McKinsey & Co., Inc.",Management Consulting Firm,"7F Zuellig Building, Makati Ave. Corner Paseo De Roxas Makati City"
"MCX Motor Philippines, Inc.",Automotive Parts and Motorcyle Industries,"No. 17 Calle Fabrica, Malhacan, Meycauayan City, Bulacan, Philippines"
MEC Networks Corporation,Technology Hardware & Equipment/Distributor,"307 MEC Centre, P. Tuazon Blvd. cor. 21st ave. Cubao, Quezon City"
Mechatronics Technologies Corporation,Traning and Assessment Centre for Automation .,"2/F E. Virata Hall, UP ISSI, E. Jacinto Street, UP Diliman, Quezon City, Philippines"
"Medcurial, Inc.",HealthCare Technology Company,"Unit 502 5/F Orient Square Building, F. Ortigas Jr., Pasig City, Philippines"
"Mediacast Digital Group, Inc.",Digital Advertising/Events Services/Marketing,"60 Kundiman Street, Paltok, San Francisco Del Monte, Quezon City"
MediaPool Incorporated,NO OTHER DOCUMENTS,"Unit 909 9/F Paragon Plaza Building, 162 Edsa cor. Reliance Street, Mandaluyong City, Philippines 1550"
Medical City,HealthCare and Equipment Services,2 Amorsolo St. Legaspi Village Makati City
"Medical Doctors, Inc. (Makati Medical Center)",HealthCare and Equipment Services,"No.2 Amorsolo Street Legaspi Village, makati City"
"Medical Trends and Technology, Inc. (MEDTEK)",Medical Diagnostics Distributor,"200 J. Elizalde st. Phase V, Bf Homes, Paranaque City"
"Megamobile, Inc. (A Member of the Inquirer Group of Companies)",,"3/F Media Resource Plaza, Mola Street cor. Pasong Tirad Street, Makati City, Philippines 1204"
Megawide Construction Corporation,Construction & Materials,"ArcoVia City, Brgy. Ugong, Pasig City"
Megaworld Corporation,,"Megaworld Foundation 30th Floor, Alliance Global Tower 11th Ave. corner 36th St. Uptown Bonifacio, Taguig City"
"Megaworld Foundation, Inc.",Real State/Property Management,"28/F The World Centre, 330 Sen. Gil Puyat Avenue, Makati City, Philippines 1200"
Melters Steel Corporation,Steel Manufacturing,"904 Tytana Plaza, Plaza Lorenzo Ruiz, Brgy. 288, Zone 027, Binondo, Manila, Philippines"
MERALCO (Manila Electric Company),Electric Distribution,"1600 Ortigas Ave, Pasig, Metro Manila"
Meralco Industrial Engineering Services Corporation (MIESCOR),Industrial Engineering,"5th Floor, Renaissance Tower 1000 Meralco Ave, Ortigas center, Pasig 1600 Metro Manila"
Mercantile Venture Pacific Inc. (MVP Asia),Software & Computer Services,"Unit 1 F2, Business Center 10,Philexcel Business Park, Clark Freeport Zone, Pampanga"
Metacrafters LLC,"Education / Training / Software & Computer Services
","125 Church Street, Ste 170, Pembroke, MA 02359"
"Metro Convergence, Inc.","Merchant Wholesalers, Durable Goods .","Suite 2208 Antel Global Corporate Center, J. Vargas Avenue, Ortigas Center, Pasig City, Philippines 1605"
Metro Stonerich Corporation,General Construction,"No. 85 Timog Avenue, South Triangle, Quezon City, Philippines"
Metropolitan Bank and Trust Company (METROBANK),Financial Services/Banks/Insurance,"Metrobank Plaza, Sen. Gil Puyat Ave. Makati City"
Metropolitan Waterworks and Sewerage System,,
Mevbuilt Inc.,Construction and Materials,"BLK. 1 LOT 9 MANCHESTER INDUSTRIAL SUBD. BRGY SAUYO, NOVALICHES, QC"
MFG Manille Incorporated (Maithe Francois Girbaud),,"Suite 303 Ortigas Building, Ortigas Avenue, Pasig City, Philippines"
MG Lualhati Construction Corporation,Construction & Materials,"Rm. 407 Pasda Mansions, #77 Panay Ave., Corner Timog Ave., QC"
"MH Poly-Electromechs, Inc.",Electrical Supplier and Solution Provider,"No. 15 N. Domingo Street, Brgy. Valencia, Quezon City, Philippines 1112"
MHR,Advertising / Design / Marketing,"4, 420 Jungang-daero 61beon-gil, Seongsan-gu, Changwon-si"
MICOM Technologies Corporation,Hardware/Software Research and Development,"UP Science and Technology Park (South), CP Garcia cor. Katipunan Avenue, UP Diliman, Quezon City, Philippines 1101"
Microbase Incorporated,Software and Computer Services/IT Companies,"6/F Casmer Building, 195 Salcedo Street, Legaspi Village, Makati City, Philippines"
"Micrologic Systems, Inc.",Designer/Manufacturer,"2/F MSI Building, Ortigas Avenue Ext., Evergreen Executive Village, Antipolo City, Philippines 1870"
Microsoft,Software Development,"8/F 6750 Ayala Office Tower, 6750 Ayala Avenue, Makati City, Philippines 1200"
Microsoft Innovation Centers (MIC),,"Rm. 301-302 Junio Hall, National Engineering Center, UP Diliman, Quezon City, Philippines"
"Microsourcing Philippines, Inc.",BPO Company,"6/F 1880 Avenue Building, Eastwood City Cyberpark, 1110 Bagumbayan, Quezon City, Philippines"
Midas Hotel & Casino,Hotel Industry,"2702 Roxas Boulevard, Pasay City, Philippines 1300"
Misys Philippines,Banking Software System,"8/F Zuellig Building, Makati Avenue cor. Paseo De Roxas, Makati City, Philipines 1225"
Mitsubishi Motors,,"No. 1, Autopark Ave., Greenfield Automotive Park, Special Economic Zone, Sta. Rosa, Laguna"
Miyoshi Technologies Philippines Incorporated,,"Lot B1-5 Road 6, Carmelray Industrial Park 2, Brgy. Milagrosa, Calamba City, Laguna, Philippines 4027"
MJS Construction & Development,,"Suite 201 2478 Eloriaga Street cor. Estrada Street, Sta. Ana, Manila, Philippines"
MLVC Engineers and Consultants,Design & Consultancy,"268 Date Palm Street, Palmera Hills, Taytay, Rizal, Philippines"
MN Electro Industrial Supply and Services Inc.,Construction & Materials,"147 MNEISSI Building Gov. F. Halili Ave. Bagbaguin, Santa Maria,Bulacan"
"Modern Technology Builders, Inc.",Construction & Materials,"Unit E, 3F Marinel Building, No. 29 Flamingo Street, New Marikina Subdivision, Sta. Elena, Marikina City, Philippines"
MODAIR MANILA CO. LTD INC.,Construction & Materials,"3F & 4F 223 SALCEDO BUILDING, #223 SALCEDO CORNER GAMBOA STS., LEGASPI VILLAGE, MAKATI CITY, METRO MANILA"
Momentum Construction & Development Corporation,General Contractor,"804 Future Point Plaza I, 112 Panay Avenue, Quezon City, Philippines 1100"
Monde Nissin Corporation,Food Manufacturer,"22/F & 23/F 6750 Office Tower Building, Ayala Avenue, Makati City, Philippines"
Monstar Lab PTE. LTD PH ROHQ,Software and Computer Services,"1005 West Tower Philippine Stock Centre, Exchange Rd, Ortigas Center Pasig City"
Monstronauts Inc.,Game & Web Development,"37 Sct. Borromeo St., South Triangle, Quezon City"
Montgomery Fitch and Associates,Advertising/Marketing/Promotion,"23/F  Prestige Tower, Ortigas Business District, F. Ortigas Jr. Avenue, Pasig City, Philippines 1226"
MSCI Hong Kong Limited,Financial Investment Company,"29/F Zuellig Building, Makati Avenue cor. Paseo De Roxas, Makati City, Philippines 1226"
"MSI-ECS Phils., Inc. / MSI Digiland",IT Production Firm ( .),"Topy II Building, No. 3 Economia Street, Libis, Quezon City, Philippines 1100"
MSWEB Network Solutions Company,IT Services,"Suite 403 Adriatico Executive Center, 1920 M. Adriatico Street, Malate, Manila, Philippines"
"Multi-Scribe Global Outsourcing, Inc. (MS Global)",,"2/F M & L Building, Visayas Avenue cor. Road 1, Quezon City, Philippines 1128"
MVP Asia Pacific Inc.,,
MVP Asia Pacific Inc.,,"Unit 1F Business Center 12 Philexcel Business Park MA Roxas Highway, Clark Freeport Zone, 2023"
MWSS Quezon City,Construction & Materials,"4th Floor MWSS Administration Building, Katipunan Ave. Brgy. Old Balara Quezon City"
MWSS- Corporate Office ,,
Myco Marketing,Digital Online Company,"69 Biak na Bato Street, Quezon City, Philippines"
MyPlay.Asia Corporation,Business & IT Consulting,"Unit 1507 The Orient Square Building, Don F. Ortigas Business Center, Ortigas, Pasig City, Philippines"
MyPortal Exchange Inc.,Advertising/Design/Marketing,16/F OMM-Cintra Building San Miguel Avenue Ortigas Center Pasig City 1605
MySiteMalixi,Online Business Solution Provider,"The Perfect Cleaners Unit B, C&B Mall, Liwasang Kalayaan Marikina Heights, Marikina City, Philippines 1810"
NALV Concepts Enterprises,Artwork & Design,G/F Astron Building 102 E. Rodriguez Junior Avenue Ugong Pasig City
NAPOCOR - Angat Dam,,"Agham Road cor. Quezon Avenue, Diliman, Quezon City, Philippines"
NAR Power System Specialistics Corp.,Electrical Contractor and Consultancy,cor quezon avenu bir road diliman qc
Narra Systems Corporation,Research & Development,"3/F Rm. 9, No. 17 Poblete Building, Sen. Gil Puyat Avenue, Makati City, Philippines"
Nathanael John Builders & Development Corporation,,9 & 21 A Naga Street 1870 Antipolo City - Antipolo City
National Commission on Muslim Filipinos,Others: Government,79 Josfer BLDG. Commonwealth Ave. Diliman Q.C
"National Grid Corporation of the Philippines (Formerly, NAPOCOR)",Power Transmission/IT Distribution Firm .,"Quezon Avenue cor. BIR Road, Quezon City, Philippines"
National Power Corporation,Electri Power Industry,"BIR Road, East Triangle, Diliman, Quezon City, Philippines"
National Telecommunications Commission (NTC),Telecommunication .,"BIR Road, East Triangle, Diliman, Quezon City, Philippines"
"NEWTON SCANNING SYSTEMS, INC.",Software & Computer Services,"Sitio 14, Purok2, Dita, City of Sta. Rosa, Laguna"
"NCO / RMH Teleservices Asia-Pacific, Inc.",BPO Company,"4/F Eugenio Lopez Jr. Communications Center, ABS-CBN Compound, Mother Ignacia Avenue, Quezon City, Philippines"
NCP ADVERTISING STUDIOS,"Advertising, Design, Media","22nd Floor the 30th Corporate Center Meralco Ave, Brgy. Ugong Pasig"
NCR Corporation Philippines,IT Solutions Company,"17/F 6788 Ayala Avenue, Makati City, Philippines 1226"
"Ndoors Interactive Philippine, Inc.",Online Game Publisher,"Office 1202 Tower 2, The Rockwell Business Center, Block 4, Meralco Compound, Ortigas, Pasig City, Philippines"
Nelsoft System Inc.,Software and Computer Services,"Unit 8C, 8th Floor, Marc 2000 Tower, San Andres, Malate Manila"
Neon Oven Media Co.,Photo & Video Production Company,"Unit 304 Archer Bldg., 146 Timog Cor EDSA Sacred Heart QC"
"Nera Philippines, Inc.","Inforcomm Services, Telecommunication Services","8/F Multinational Bank Corporation Center, 6805 Ayala Avenue, Makati City, Philippines"
Nerd Idea,Software and Web Development .,"61 A. Pablo Street cor. Agustin Street, Karahutan, Valenzuela City, Philippines"
"Nestle Philippines, Inc.",IT Services,"No. 31 Plaza Drive, Rockwell Center, Makati City, Philippines 1200"
"Net Pacific, Inc.",Structured Cabling,"ODC International Plaza, 219 Salcedo Street, Legaspi Village, Makati City, Philippines"
Netrepreneu Connections Enterprises (OLX),Online Marketing,"40/F Unionbank Plaza, Meralco Avenue, Ortigas Center, Pasig City, Philippines"
"NetworkLabs, Inc.",Telecommunication,"Bldg I, UP-Ayala Land Technohub, Commonwealth Avenue, Quezon City, Philippines"
"Neugent Technologies, Inc.",Software and Computer Services,"Topy Building 1, No. 3 Economia Street, Brgy. Bagumbayan, Quezon City, Philippines"
Neun Farben Corporation,Web Design,"Unit 1906 Tycoon Centre, Pearl Drive, Ortigas Center, Pasig City, Philippines 1605"
New Ivex Machinery Corporation,Machine Distributor,Unit B-1 134 Kaingin Road Brgy. Apolonio Samson Quezon City
"New Kanlaon Construction, Inc.",,"Unit 305 Prestige Tower, Emerald Avenue, Ortigas Center, Pasig City, Philippines 1605"
"New San Jose Builders, Inc.",Construction/Real State,"Victoria De Manila 2, 1747 Taft Ave, Malate, Manila"
NextEnterprises Inc.,Financials: Banks / Insurance / Financial Services,"21 Brixton Street, Brgy. Kapitolyo, Pasig, Metro Manila"
"Next Innovation, Inc.",Software and Computer Services/Technology Hardware & Equipment,"Unit 1007 Antel Global Corporate Center, Julia Vargas Avenue, Ortigas Center, Pasig City, Philippines 1600"
"Nexus Technologies, Inc.",IT Wholesale/Retail Services,"GF Don Pablo Building, 114 Amorsolo Street, Legaspi Village, Makati City, Philippines 1229"
Nezda Technologies Inc.,,9F ACT TOWER GIL PUYAT AVENUE. MAKATI CITY
Nicolex Development Corp.,,"1540 Taft Avenue, Brgy. 675, Zone 073, Ermita, Manila, Philippines"
Nidec Motor Philippines Corporation,Business Solution Provider to NIDEC Group of Companies,"15/F San Miguel Properties Center, No. 7 St. Francis Avenue, Ortigas Center, Mandaluyong Philippines"
Nielson Corporation,Market Research,"24/F 88 Corporate Center, 141 Valero Street, Makati City, Philippines 1227"
"NNIT Philippines, Inc. (formerlyCorebuilt Technologies, Inc.)",Software Developer,"4/F Aguirre Building, 812 A. Arnaiz Avenue, Makati City, Philippines 1223"
No. 12 Yellow Brick Road,Advertising/Marketing,
Nokia,,"Building I UP AyalaLand TechnoHub Commonwealth Ave. Diliman, Quezon City"
Nomis Asia Ltd.,Software and Computer Services,"Kalayaan Ave., Quezon City"
NORDE International Distributors,General Retailer,"6/F 8735 Peninsula Court, Makati Avenue cor. Paseo de Roxas, Makati City, Philippines 1226"
Novare Technologies,,"Unit 5-I 5/F OPL Building, 100-C Palanca Street, Legaspi Village, Makati City"
Novus ltd,,
Now Corporation,IT and Telecommunications Company,"2244 Espana Boulevard, Sampaloc, City of Manila, 1008 Philippines"
